Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	10	7	2	1	Human	6, 7	"{""6"": [""restaurant that serves creative food in the centre of town""], ""7"": [""restaurants that serve creative food in the centre of town""]}"
3	1	6	10	5	1	Human	6, 7, 10	"{""6"": [""food in the centre of town""], ""7"": [""food in the centre of town""], ""10"": [""food in the center of town""]}"
4	1	3	7	9	2	Human	2, 6, 7, 10	"{""2"": [""center of town""], ""6"": [""centre of town""], ""7"": [""centre of town""], ""10"": [""center of town""]}"
5	2	1	6	8	1	Agent	3, 6, 7, 8, 10	"{""3"": [""centre""], ""6"": [""centre""], ""7"": [""centre""], ""8"": [""centre""], ""10"": [""center""]}"
2	2	3	16	2	1	Agent	14, 15, 16	"{""14"": [""taxi""], ""15"": [""taxi""], ""16"": [""taxi""]}"
5	5	1	9	12	1	Agent	5, 6, 7, 8, 9, 11, 14, 15, 16	"{""5"": [""restaurants""], ""6"": [""restaurant""], ""7"": [""restaurants""], ""8"": [""restaurant""], ""9"": [""restaurants""], ""11"": [""restaurant""], ""14"": [""restaurant""], ""15"": [""restaurant""], ""16"": [""restaurant""]}"
3	1	2	9	4	1	Human	6, 7, 9	"{""6"": [""creative food""], ""7"": [""creative food""], ""9"": [""creative food""]}"
3	3	2	8	4	2	Agent	5, 7, 8	"{""5"": [""expensive restaurants""], ""7"": [""expensive restaurants""], ""8"": [""expensive restaurant""]}"
5	5	1	1	17	1	Human	0, 1, 14, 15, 16	"{""0"": [""museum""], ""1"": [""museums""], ""14"": [""museum""], ""15"": [""museum""], ""16"": [""museum""]}"
2	2	2	13	2	1	Human	12, 13	"{""12"": [""reference number""], ""13"": [""reference number""]}"
6	4	1	2	17	1	Agent	1, 2, 3, 12, 13, 17	"{""1"": [""number""], ""2"": [""number""], ""3"": [""number""], ""12"": [""number""], ""13"": [""number""], ""17"": [""number""]}"
5	2	1	7	5	1	Human	6, 7, 8, 9, 10	"{""6"": [""food""], ""7"": [""food""], ""8"": [""food""], ""9"": [""food""], ""10"": [""food""]}"
5	5	1	4	16	1	Agent	4, 15, 18	"{""4"": [""help""], ""15"": [""help""], ""18"": [""help""]}"
3	3	1	13	6	1	Human	12, 13	"{""12"": [""booking""], ""13"": [""booking""]}"
3	3	1	1	6	1	Human	0, 1, 5	"{""0"": [""cambridge""], ""1"": [""cambridge""], ""5"": [""cambridge""]}"
3	3	1	16	6	2	Agent	11, 16	"{""11"": [""reservation""], ""16"": [""reservation""]}"
2	2	1	13	2	1	Human	12, 13	"{""12"": [""table""], ""13"": [""table""]}"
