Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	3	7	2	1	Human	6, 7	"{""6"": [""cambridge to ely""], ""7"": [""cambridge to ely""]}"
2	2	2	4	2	1	Agent	3, 4	"{""3"": [""cambridge museum""], ""4"": [""cambridge museum""]}"
2	2	2	13	4	1	Human	10, 13	"{""10"": [""reference number""], ""13"": [""reference number""]}"
6	6	1	5	10	1	Human	4, 5, 6, 7, 9, 13	"{""4"": [""train""], ""5"": [""train""], ""6"": [""train""], ""7"": [""trains""], ""9"": [""train""], ""13"": [""train""]}"
3	3	1	4	7	1	Agent	3, 4, 6, 7, 9	"{""3"": [""cambridge""], ""4"": [""cambridge""], ""6"": [""cambridge""], ""7"": [""cambridge""], ""9"": [""cambridge""]}"
4	3	1	3	5	2	Human	0, 2, 3, 4	"{""0"": [""museums""], ""2"": [""museums""], ""3"": [""museum""], ""4"": [""museum""]}"
3	3	1	14	9	1	Agent	7, 14, 15	"{""7"": [""day""], ""14"": [""day""], ""15"": [""day""]}"
3	1	1	9	4	1	Human	6, 7, 9	"{""6"": [""ely""], ""7"": [""ely""], ""9"": [""ely""]}"
2	2	1	10	2	1	Agent	9, 10	"{""9"": [""reservation""], ""10"": [""reservation""]}"
2	2	1	12	2	1	Agent	11, 12	"{""11"": [""ticket""], ""12"": [""tickets""]}"
