Freq.	Free Freq.	Size	Establishment turn	Spanning	Priming	First Speaker	Turns	Expression
2	2	5	4	4	1	Agent	1, 4	"{""1"": [""preference for the price range""], ""4"": [""preference for the price range""]}"
3	1	1	4	4	2	Agent	1, 3, 4	"{""1"": [""preference""], ""3"": [""preference""], ""4"": [""preference""]}"
2	2	1	3	4	1	Human	0, 3	"{""0"": [""south""], ""3"": [""south""]}"
3	3	1	8	7	1	Agent	3, 8, 9	"{""3"": [""guesthouse""], ""8"": [""guesthouse""], ""9"": [""guesthouse""]}"
2	2	2	3	2	1	Human	2, 3	"{""2"": [""free parking""], ""3"": [""free parking""]}"
3	1	1	5	4	1	Human	2, 3, 5	"{""2"": [""parking""], ""3"": [""parking""], ""5"": [""parking""]}"
3	1	1	5	5	1	Agent	1, 4	"{""1"": [""price""], ""4"": [""price""]}"
3	1	1	4	4	2	Agent	1, 3, 4	"{""1"": [""range""], ""3"": [""range""], ""4"": [""range""]}"
2	2	1	8	6	1	Agent	3, 8	"{""3"": [""hotel""], ""8"": [""hotel""]}"
2	2	1	9	2	1	Human	8, 9	"{""8"": [""postcode""], ""9"": [""postcode""]}"
